Year ,Advertising ,Circulation 
1956,3223000000,1344492000
1957,3268000000,1373464000
1958,3176000000,1459013000
1959,3526000000,1549576000
1960,3681000000,1604228000
1961,3601000000,1684319000
1962,3659000000,1819840000
1963,3780000000,1901820000
1964,4120000000,1983809000
1965,4426000000,2023090000
1966,4865000000,2109050000
1967,4910000000,2180242000
1968,5232000000,2288215000
1969,5714000000,2425446000
1970,5704000000,2634402000
1971,6167000000,2833320000
1972,6939000000,2929233000
1973,7481000000,3037820000
1974,7842000000,3581733000
1975,8234000000,3921515000
1976,9618000000,4087303000
1977,10751000000,4310236000
1978,12213000000,4534779000
1979,13863000000,4950542000
1980,14794000000,5469589000
1981,16527000000,6206141000
1982,17694000000,6656661000
1983,20581000000,7044098000
1984,23522000000,7368158000
1985,25170000000,7659297000
1986,26990000000,8052148000
1987,29412000000,8399032000
1988,31197000000,8046287000
1989,32368000000,8370324000
1990,32280000000,
1991,30349000000,8697679000
1992,30639000000,9163534000
1993,31869000000,9193802000
1994,34109000000,9443217000
1995,36092000000,9720186000
1996,38075000000,9969240000
1997,41330000000,10065642000
1998,43925000000,10266955000
1999,46289000000,10472294000
2000,48670000000,10540643000
2001,44305000000,10783078000
2002,44102000000,11025896000
2003,46156000000,11224362000
2004,48244000000,10988651000
2005,49435000000,10746901000
2006,49275402572,10548344000
2007,45375000000,10294920096
2008,37848257630,10086956940
2009,27564000000,10066783026
2010,25837698822,10049360689
2011,27078473864,9989064525
2012,25316461215,10448561493
