com_len,count
12,5729
10,5686
11,5574
13,5477
9,5451
14,5374
15,5241
8,5133
16,4976
7,4883
17,4858
18,4746
19,4497
20,4492
6,4328
21,4185
22,4019
23,3984
5,3813
25,3660
24,3648
27,3420
26,3358
28,3230
29,3065
4,3050
30,2885
31,2838
32,2739
34,2581
33,2580
35,2424
36,2367
3,2300
37,2277
39,2168
38,2151
40,2036
41,1919
2,1911
42,1907
43,1875
44,1827
46,1691
45,1666
47,1581
48,1580
49,1532
50,1492
53,1449
51,1443
52,1407
1,1350
54,1313
56,1260
55,1211
57,1188
58,1122
60,1115
59,1109
61,1077
64,1032
62,1020
65,993
63,988
66,906
67,905
68,881
69,860
73,838
71,832
70,831
72,809
74,776
77,720
78,719
79,712
75,702
76,696
80,663
81,659
97,602
95,600
96,593
94,592
84,590
82,589
98,575
83,575
93,570
87,570
101,567
92,558
100,554
90,551
91,549
85,548
86,545
103,532
88,525
99,524
108,514
106,514
89,512
102,503
105,496
104,495
110,474
107,469
109,463
111,447
115,442
113,424
117,413
112,406
116,405
114,385
123,385
119,378
122,364
121,351
120,340
118,335
126,327
127,324
125,316
130,310
124,306
132,302
134,300
131,299
128,299
129,292
144,285
133,283
136,280
135,274
142,270
139,257
138,257
140,252
143,249
146,242
137,239
141,232
145,232
149,216
156,215
148,213
152,211
147,211
157,209
154,195
159,192
151,191
155,186
161,182
150,182
153,176
163,175
164,174
160,171
168,170
162,168
166,164
158,161
173,153
182,145
165,144
174,144
169,142
170,141
178,139
180,133
167,132
172,132
175,131
179,130
171,129
181,127
185,124
176,123
194,115
177,114
192,114
187,113
184,113
188,112
190,112
193,105
191,105
183,101
189,97
201,97
196,96
195,96
186,94
200,93
202,93
199,90
217,88
213,86
198,85
203,85
214,84
207,82
222,82
212,81
206,79
205,79
208,79
204,78
211,76
210,74
226,74
221,73
218,73
197,69
223,67
233,65
224,65
219,65
234,65
220,65
216,65
237,64
209,61
242,61
232,60
243,58
240,57
215,55
252,55
238,54
247,53
236,53
239,52
235,52
230,52
244,49
267,49
225,49
246,49
265,48
228,47
227,47
251,47
229,47
250,47
245,45
241,44
282,42
256,42
258,42
286,41
261,41
257,41
266,40
277,40
260,39
249,39
270,38
262,38
301,37
231,37
305,37
248,37
264,36
273,35
268,35
285,35
253,35
255,35
276,35
310,34
269,33
279,33
284,33
274,32
254,31
290,31
275,30
281,30
283,30
263,30
291,30
278,29
259,28
292,28
280,28
298,28
294,28
289,27
271,27
293,27
326,27
297,27
318,26
272,25
288,25
327,25
287,25
303,24
322,24
300,23
324,23
316,23
314,23
306,23
296,23
325,22
311,22
321,21
307,21
330,21
295,20
346,19
366,19
331,19
323,19
350,19
299,18
308,18
369,18
344,18
328,17
302,17
304,17
340,17
367,17
347,17
313,17
343,17
337,17
389,16
317,16
379,16
315,16
360,16
332,16
395,16
348,15
349,15
309,15
333,15
312,15
339,15
384,15
320,15
376,15
336,14
334,14
358,14
377,14
383,14
356,14
355,14
342,14
351,14
338,13
420,13
352,13
345,13
363,13
415,13
399,12
368,12
401,12
381,12
392,12
329,12
364,12
335,11
341,11
359,11
361,11
457,11
382,11
385,10
374,10
357,10
